id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
22256635,"Nonsense?  kiss off, geek. what I said is true.  I'll have your account terminated.",1,0,0,0,0,0
27450690,"""

 Please do not vandalize pages, as you did with this edit to W. S. Merwin. If you continue to do so, you will be blocked from editing.    """,0,0,0,0,0,0
54037174,"""

 """"Points of interest"""" 

I removed the """"points of interest"""" section you added because it seemed kind of spammy. I know you probably didn't mean to disobey the rules, but generally, a point of interest tends to be rather touristy, and quite irrelevant to an area culture. That's just my opinion, though.

If you want to reply, just put your reply here and add {{talkback|Jamiegraham08}} on my talkpage.   """,0,0,0,0,0,0
77493077,Asking some his nationality is a Racial offence. Wow wasn't aware of it.  Blocking me has shown your support towards your community. Thanku for that,0,0,0,0,0,0
79357270,The reader here is not going by my say so for ethereal vocal style and dark lyrical content. The cited sources in the External Links are saying those things. If you feel the sources are unreliable or I did not represent what they said correctly rewrite or delete it.,0,0,0,0,0,0
82428052,"Fried chickens 

Is dat sum fried chickens?",0,0,0,0,0,0
87311443,Why can you put English for example on some players but others people don't like it - why?,0,0,0,0,0,0
114749757,"Guy Fawkes 

im a resident in bridgwater and i go to the carnival every year, im wuite dedicated to the town and enjoy alot about it, However, i think you are wrong, although we are rebels i think that the carnvial is to celebrate Guy fawkes getting caught and therfor preventing it, why would you want to celebrate somebody theying to murder out majisty.",0,0,0,0,0,0
138560519,"as far as nicknames go this article is embarrassing, Where is the Human fish, golden fish, flying fish, and the American super fish, among others? wiki should be ashamed for this mess of an article. ~Anonymous *and there I signed the post*",0,0,0,0,0,0
139353149,"Woodland Meadows
Good to hear that you corrected that.",0,0,0,0,0,0
150009866,"""

Well I just finished a good bit of editing.  I haven't had a chance to go through and do all the tagging and referencing yet since work calls but I am extremely confident in the scientific factual basis of everything stated in here.  The referencing can pretty much be all made to the book """"Particle Imaging Velocimetry A practical guide"""" by Raffel, Willert, Wereley and Kompenhans if someone can add it.  Also, not sure how to exactly do that as it all can be found in numerous scientific journals, databases, etc. but is so conveniently placed all in that one book.

The only thing I am unsure about as I have no experience with is Molecular Tagging Velocimetry.  To put it simply, I would like to keep technique defects in the summaries but I don't know what this one's is.  To put is bluntly, the description as it is now is too good to be true.  I know it has defects and problems, I don't know what they are.  The fact is the technique was developed in 97ish and is not in widespread use.  If the description were accurate, everyone would use it.  I have met or heard of not one person using it, which means there is some big flaw in the technique that if someone can find, be my guest to add it.

Everything else, please post on discussion page before editing critical information as I am positive what I have said can be completely defended but am open to solid arguments.  I won't be pigheaded about it.

Also, anyone with knowledge of tomographic PIV please expand the section.  It is a volumetric analysis technique that I know of and know its new, but know nothing about.""",0,0,0,0,0,0
152276337,"Discussion should take place on the article talk page, not on a user's talk page.  You don't think it's too much weight to go into detail about the people who play chess, their ethnicity, and their motivations for doing so? I do.  You say you want to write an article about them - go ahead, we'll see if it survives notability.",0,0,0,0,0,0
153331729,"Uh oh, you called my bluff. I am intimidated by the number of images you possess (7000!). And though I am a painter and teacher, I am blissfully ignorant about most workings of the computer. I think that the best way to go would be to upload them to the commons, put captions on them, and place them under the proper headings (here I would also suggest you ask a more experienced art editor than I, someone like Wetman, Caravaggisti, Ewulp, or Celithimus, for their adviceyou will find their contributions throughout the histories of artists' entries... maybe they'll say I'm all wrong). The other option is to continue placing pictures in articles, but even when there are a lot of them, I actually hate deleting images once they are up, either because of my own reticence in undoing what others have done, or out of respect for the visual image. That being said, if there is any way I can help, I would be glad to. It is clear that you have a great collection of photos, and that you are very generous. Best regards,",0,0,0,0,0,0
153600803,"""
We should also contact the living descendants of Adolf Hitler in order to ask them whether we think we give him a raw deal. Absolutely not. Reliable sources are here what we live by, or die by. Truth is not negotiable. Use is a different issue. andemu """,0,0,0,0,0,0
154186883,""" May 2008 (UTC)

Notability of Your New Heart
 A tag has been placed on Your New Heart requesting that it be speedily deleted from Wikipedia. This has been done because the article appears to be about a real person, organization (band, club, company, etc.), or web content, but it does not indicate how or why the subject is notable: that is, why an article about that subject should be included in an encyclopedia. Under the criteria for speedy deletion, articles that do not indicate the subject's importance or significance may be deleted at any time. Please see the guidelines for what is generally accepted as notable. If this is the first page that you have created, then you should read the guide to writing your first article.

If you think that you can assert the notability of the subject, you may contest the deletion by adding  to the top of the article (just below the existing speedy deletion or """"db"""" tag), coupled with adding a note on the article's talk page explaining your position, but be aware that once tagged for speedy deletion, if the article meets the criterion it may be deleted without delay. Please do not remove the speedy deletion tag yourself, but don't hesitate to add information to the article that would confirm the subject's notability under Wikipedia guidelines.

For guidelines on specific types of articles, you may want to check out our criteria for biographies, for web sites, for bands, or for companies. Feel free to leave a note on my talk page if you have any questions about this.    20:03, 18""",0,0,0,0,0,0
161894108,"""

While I agree that this article isn't FA material, I must suggest that your added criticism in the lead is also repetitive.  The SPLC's opinion of the show is referenced throughout.  At the very least, your edit should be amended to read that The Political Cesspool has hosted FORMER members of the Ku Klux Klan. In fact, the only one I can find for sure is David Duke, who has also been interviewed by every major talk radio and television program in the country.  (Perhaps it should read, """"a former member of the Ku Klux Klan."""")  Furthermore, Duke was in the Klan in the 1970's, nearly three decades before The Political Cesspool first went on the air.  Does Wolf Blitzer's Wiki entry read that he has hosted Klan members?  Duke has appeared on Blitzer's show.

There are already many people who feel that this article is flagrantly biased.  Right or wrong, to have it read as though this radio program frequently interviews current members of the """"Ku Klux Klan"""" is misleading.  Regardless of its ideology, this show has had many big names as guests, as Stonemason points out.""",0,0,0,0,0,0
169740962,"a Turkish citizen and him having received an award(notability) due to his roots entitle his former nationality/roots need to be mentioned in the opening section. You made the Bundesliga remark yourself, that pretty much ended any disagreement there",0,0,0,0,0,0
178084608,"Please explain why censorship of quality additions to this topic is tolerated on wikipedia. Jayjg has nothing but childish and immature epithets to spew and they have no place on wikipedia, his excuse for removing the link is unacceptable and transparent. lokison",0,0,0,0,0,0
208005265,"In any case, this edit war will last forever.  You want to go tit-for-tat?  I can play just as long.  But, I will never have sullied my reputation by reverting your falsehoods.  I'll perhaps, encourage those you abuse and vilify here to not touch the article when it comes down to it.  Let you do all the movement and us all the criticism.  You are into domination?  Comes with the territory, huh?  You've said vicious things about several people, so you're not innocent.  I'm simply calling you out on it.  24.255.11.149",0,0,0,0,0,0
224733383,"""

 """"Vandalism"""" of George Washington 

Who are you to say that my changes constitute vandalism? I had Wiki words in there that pointed directly to the topics being discussed. While I was unable to provide online references, I have multiple print media references in my private library.""",0,0,0,0,0,0
225701312,Why hasn't Alitalia been removed rom the alliance due to its piss-poor customer service? - Sentiments of nummerous FlyerTalkers,1,0,0,0,0,0
237279459,"""

 Another AfD stats example 

I hope you don't mind me letting you know about these examples. I don't know if there's anything you can do to refine how the tool works, but I just thought it would be good for you to know certain examples on it. In regards to Wikipedia:Articles for deletion/Deathlands, the tool closed it as Merge, presumably because it pulled out the word merge from the closing statement. However, the close is really more of an N/A, or a no consensus if you require specific terminology, since the result was that there couldn't be any real outcome for such a huge joint nomination of articles. serenC """,0,0,0,0,0,0
254015372,"""
I will ;). How about... ah, I've got nothing to do! I know! I need a random president of the USA, not one of the really well-known ones! Fire contribs """,0,0,0,0,0,0
280570905,""":I have moved some tedious detail in """"Surveys of helmet use and cycling participation before and after the introduction of helmet laws"""" to the footnote.  The whole thing is becoming unreadable as well as poorly structured with duplications.    

""",0,0,0,0,0,0
284253328,"@AnnieHall, what separates this from capitalism is state terrorism conducted against its own citizens and others under its jurisdiction, whether legitimate or not, as a matter of policy. And for capitalism we have the Holocaust et al. for Nazi Germany, et",0,0,0,0,0,0
287371884,".  and its also not random, it was the first clan/guild on Star Wars Battlefront II for PS2 online.",0,0,0,0,0,0
293668009,"""
The Graceful Slick....
Is non other than an ungraceful dick!86.131.154.225  """,1,0,0,0,0,0
300891545,"""====Regarding edits made during December 2 2006 (UTC)====
Thank you for experimenting with  Wikipedia. Your test worked, and it has been reverted or removed. Please use the sandbox for any other tests you may want to do. Take a look at the welcome page to learn more about contributing to our encyclopedia. Ω612 '''ER """,0,0,0,0,0,0
307040060,"""::The section is now called """"Discrepancies and inaccuracies"""", which is fine (just keeping track). Nothing in the section is sourced, I don't know if any of it is able to be verified in reliable third-party sources and on that basis it may be removed. Wikipedia:Trivia sections may also apply.  

""",0,0,0,0,0,0
340940431,"""

 Smackdown! 

Good smackdown on Qatar, """"...it wasn’t long before the Al Khalifa family appeared from nowhere, or at least from nearby Qatar..."""".  Was it intentional to call Qatar nowhere? 138.162.128.53  """,0,0,0,0,0,0
341549388,"""

 Stupid? 

As soon as I saw the phrase """"metal is stupid"""" at the very beginning of the article, I assumed I misread it. When I confirmed that it did indeed say """"metal is stupid,"""" I then assumed it was vandalism. However, I don't know anything about chemistry (See: Soviet education system) so if the word """"stupid"""" has some other meaning in chemistry, I would have no way of knowing or refuting it. Could someone that actually has some amount of knowledge on this subject confirm whether this is or is not vandalism or a typo or what-have-you? """,1,0,0,0,0,0
343979528,so I couldn't respond to anything,0,0,0,0,0,0
345843351,"""
Ban one side of an argument by a bullshit nazi admin and you get no discussion because the islamist editors feel they """"won"""".""",1,0,1,0,1,0
355915808,A better class of...vandal?,0,0,0,0,0,0
358244768,"""* Mentioned again by Media Matters here. 

""",0,0,0,0,0,0
362249102,"cycling article controversy 

Hi there. It is cyclist robbie mcewen who complained via his twitter page alongside bradley wiggins, not stuart o'grady; o'grady does not have a twitter page.",0,0,0,0,0,0
376710107,supply a picture containing both structures.,0,0,0,0,0,0
391033562,"And I've put it back, with a ref.  It took a few seconds to find a source, don't be so hasty to pull information",0,0,0,0,0,0
394506405,"""

 Porn email 

I was wondering why you sent me all that porn via email. I dont appriciate that kind of behavior and it has been reported to your ISP (Which is DFW.FIOS-Verizon by the way). I found that material insane and offensive and would appriciate it if you never send me that material again. Thank you goodbye.

 

I have never sent anyone such e-mail, and so I feel offended by your accusation. I have checked my sent e-mail and have found no such e-mail. Also, I do not know your e-mail address and I find it suspicious that your first edit is to my talk page. Please reply here. Thanks.  ¿п? § 

Please do not remove relevent discussions from your talk page. I have proof of the emails and have forwarded them to an administrator. Also I found it funny as well that the second i make my account and confirm my email, I get some emails from you containing porn. I live an an area where viewing that kind of material can get your internet service ended. What I am curious about is why is it that you decided to do something like this in the first place. Please reply back on YOUR talk page. Thank you.

 """,0,0,0,0,0,0
407636870,Are you gay?? Sound like it,1,0,0,0,0,0
414397990,"I'm not trying to get myself unblocked.  I never was.  I don't care whether or not I'm blocked for 72 hours.  I'm trying to prove a point.  And it's working.  When you claim that a single revert, coupled with discussion, is an edit war, you're proving that you're a little kid who is a petty bureaucrat with no common sense.  Every admin that upholds your block is proving that the description applies to them too.  It's not a personal attack.  It's an attack on the substance of the issue, and it's absolutely right. -",0,0,0,0,0,0
432151373,should be taken with a 'grain of salt'.,0,0,0,0,0,0
434956625,"Vandalism 

Please don't vandalize Wikipedia.",0,0,0,0,0,0
450466581,"Again, please stop editing Goguryeo article without approvals, also you're helping Chinese/Japanese trolls? Why?Korsentry",0,0,0,0,0,0
459938824,"""

 Please do not vandalize pages, as you did with this edit to Tom Chilton (game developer). If you continue to do so, you will be blocked from editing.   (talk) """,0,0,0,0,0,0
462116798,"Go the RM route, please.",0,0,0,0,0,0
466393763,"Well, better. I will help improve your userpages and all, if you want. Just give me a green light.  (Contact me  +  contribs)",0,0,0,0,0,0
473458873,/addresses of proxy servers,0,0,0,0,0,0
475961218,"If it ain't broke, don't fix it.",0,0,0,0,0,0
476919417,"""

No, I don't see the """"flaw"""" in the argument, and it's not a """"sweeping statement."""" I only see that Wikipedia has a policy to use reliable sources, and that Rajiv Malhotra is far from being a reliable source. Not only because he's  """"polemicist,"""" which means that he's got a disregard for differing opinions, but basically because his presentation of the facts is incorrect. And that's because he's not aiming to give a neutral or scholarly overview, but to give a specific understanding of India, in which there is ample room for differences within India. He's got a political agenda, and that's what makes him an unreliable source. Best regards,  -Let's talk! """,0,0,0,0,0,0
514864625,Reports of the Subversive Activities Control Board  Author: United States. Subversive Activities Control Board. Washington  G.P.O. 1966.,0,0,0,0,0,0
558577514,"That seems fine from my POV.
213.122.175.236",0,0,0,0,0,0
576955352,"""

 Edit request from Drumking, 28 July 2011 

In the section http://en.wikipedia.org/wiki/Israel#Conflicts_and_peace_treaties,
the link to the """"Sabra and shatila camp massacre"""" is broken, most likely the name is obsolete.

The link should be to http://en.wikipedia.org/wiki/Sabra_and_Shatila_massacre

  """,0,0,0,0,0,0
584748441,"Strange. I agree with livelikemusic and think years should be added for recurring characters. If they were to quit the show, we would move them to the prior cast members section and any years they were recurring would be mentioned there, right? I was going to add Eileen Davidson's previous characters to her section (as is done with Kristian Alfonso and Galen Gering and has been discussed and agreed should be done for actors who have portrayed multiple characters) but, don't want to as it is because it would just be too confusing without dates.",0,0,0,0,0,0
590180328,"Having fun?
Another of your racist admins just deleted my response again and u keep lying about me.",0,0,0,0,0,0
606675581,"Unnecessary addition of external image 

Hello! Please do consider the matter of unnecessary addition of an external image in Sophie Hunter's page. She's not a model whose appearance is pivotal to her profile nor is the external image notable in her body work. Other pages don't have photos in their infoboxes either and they still exist and work as a page even without an external image. The image the user keeps on inserting is also not solely of Hunter's appearance as she is with somebody else in the photo. This is not at all a very good representation or even rational to have an external image in the page.",0,0,0,0,0,0
607698611,", 8 February 2007 (UTC)

 Yes, you are right. All of this is of only tangential interest to a Wells biography anyway. As I understand the attack on Wells here, it is as follows. Wells is a Moonie; Moon opposes evolution; evolution opposition is pseudoscience; the scientific community rejects pseudoscience; hence Wells is wrong.
 This reasoning is wrong and offensive. Scientists can debate the merits of Wells's ideas without the name-calling or the strawman attacks.  06:55",0,0,0,0,0,0
612361386,"Unconstructive Edits 

User Colin XX has been vandalizing several Wrestling-related articles by removing all links and content relating to the Fingerpoke of Doom. All of this user's edits have so far been the removing of content. 99.158.249.195",0,0,0,0,0,0
612369546,"""

 Would you take a look? 

An image used in the article on the first Bangladeshi pornstar Jazmin, Image:WorshipThisBitch3.jpg, the cover of the DVD that made her the selling point, a first for a Bangladeshi, is up for deletion here. You may be interested to take a look. (talk • contribs) """,0,0,0,0,0,0
616913502,"July 2007 (UTC); Updated. NYScholar 20:28, 26",0,0,0,0,0,0
644569201,"Archiving AN/I report about Mardavich 

I wish you had NOT archived that. I haven't worked anything out with him, his intimidation tactics haven't been addressed, not has his general level of incivility. I would've liked a chance to say something about this, and that I was more interested in actually SEEING admin action taken against him. His false reporting is really getting irritating, as his disgenuine 'i'm allowed to warn anyone i want whenever I want replies.' Finally, as you yourself have been involved with the page, and even in a minor content dispute with myself, I think you probably should've made a statement, and not used admin tools to archive it, instead askign another admin to do so. There've been a lot of those sort of 'should the admin shouldn't they' lately. I'm not gonna 'burn' you on it, you're involved, you can see a lot more of the related content than a random editor, and probably felt better aware to decide. I just wanted to let you know, instead of grandstanding on AN/I about it. All this said, if he does anything more in that incivil way of his, I'd appreciate you giving it more time to air and let more editors examine it, and I hope you'll be able and willing to support any warnign or blocks that are appropriate against him.",0,0,0,0,0,0
652183513,"Yes we can delete them but through speedy tags and AFD discussions. It appears that it has been renominated for deletion, dated Jan 13. IMO, the page is doomed for deletion. First, the recreator failed to provide third-party sources that would establish the notability of the subject. Second, that criticism is an original research, but was removed.",0,0,0,0,0,0
659300233,and in the program on last night Crime Museum: The Blackout Ripper he is called a serial killer not only by experts but by the police who catched him !!!! so get your facts right you retards,1,0,0,0,0,0
680682776,"Tidying up 

I applied for Highbeam access here, so could someone please remove my application. Same goes for my JSTOR application here.

Also, I have an open GA review for South Stoneham House, so if someone would take that over it would be good.  Fatuorum",0,0,0,0,0,0
686065030,", 27 January 2012 (UTC)
thats not the reason why i'm being blocked. you said before that i'm being blocked for personal attacks. so why is it that this person called, Ukexpat, can vandalizes my article and i get in trouble for calling him one? youre not making sense. again, I DIDNT ATTACK ANYONE PERSONALLY. WHAT ARE YOU TALKING ABOUT??!!! anyway, i do believe that i'm being blocked for racist/discriminatory reasons. i noticed that american wiki editors or admins block those of italian descent from posting about their italian/latin culture. this is very racist and is not tolerable. i'm going to ask you just 2 things: 1) why cant i post my original content, and 2) is there a special appeals board that hears cases dealing with racist editors who discriminate against authors of articles who come from different cultures? thats all i want to know. 
  02:06",0,0,0,0,0,0
696140479,"There seems to be some conflict here. This is my first article so I didn't add much because I don't know all the guidelines yet. I went to get more information on the subject, but when I came back I found a speedy deletion tag on my article. It said I didn't have enough information on the subject. I clicked edit this page, added more info, and when I saved it the speedy deletion warning disappeared. I did not remove it and if I did, I didn't know that. I'm new here. If you're going to complain about my article look at other articles. Some state police articles I've visited have only one or two sentences. I don't know why you guys are complaining at me. I'll add more when I get the information. If you want to check more of my new articles go to *List of law enforcement agencies in Montana. I didn't write the Billings PD and the Montana State Patrol articles.",0,0,0,0,0,0
702276920,It was reverted by ClueBot within the same minute. '''' (talk''),0,0,0,0,0,0
706540367,"Image:John Holmes arrested.jpg listed for deletion 
An image or media file that you uploaded or altered, Image:John Holmes arrested.jpg, has been listed at Wikipedia:Images and media for deletion. Please see the discussion to see why this is (you may have to search for the title of the image to find its entry), if you are interested in it not being deleted.  —gr",0,0,0,0,0,0
